doc_id,title,country,year,languages,resource_type,planipolis_page_url,document_url,local_filename,source_row_number,word_count,text_chars
nep_04bd7c8f76,The National Technical and Vocational Education and Training Strategy (NTVETS) for Afghanistan 2013-2018,Afghanistan,2013,"English,Dari,Pashto",National Education Plans,http://planipolis.iiep.unesco.org/en/2013/national-technical-and-vocational-education-and-training-strategy-ntvets-afghanistan-2013-2018,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nationaltvetstrategypashto_01.pdf,afghanistan_nationaltvetstrategypashto_01.pdf,11,37423,183868
nep_a746b7f475,The National Technical and Vocational Education and Training Strategy (NTVETS) for Afghanistan 2013-2018,Afghanistan,2013,"English,Dari,Pashto",National Education Plans,http://planipolis.iiep.unesco.org/en/2013/national-technical-and-vocational-education-and-training-strategy-ntvets-afghanistan-2013-2018,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nationaltvetstrategyenglish.pdf,afghanistan_nationaltvetstrategyenglish.pdf,10,20835,153385
nep_6cafe876db,National Education Strategic Plan (2015-2020) draft (NESP III),Afghanistan,2014,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2014/national-education-strategic-plan-2015-2020-draft-nesp-iii-5931,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_iii_2015-2020_draft.pdf,afghanistan_nesp_iii_2015-2020_draft.pdf,9,21614,133403
nep_44d87d0e67,National Education Strategic Plan (2017-2021),Afghanistan,2016,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2016/national-education-strategic-plan-2017-2021-6274,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_final_peshto.pdf,afghanistan_nesp_final_peshto.pdf,8,66481,347473
nep_fe55e76976,National Education Strategic Plan (2017-2021),Afghanistan,2016,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2016/national-education-strategic-plan-2017-2021-6274,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_iii_english_-_final_-_27-03-2017.pdf,afghanistan_nesp_iii_english_-_final_-_27-03-2017.pdf,7,46251,304109
nep_6f1d0ddf19,Environmental and social management framework EQRA Project,Afghanistan,2018,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2018/environmental-and-social-management-framework-eqra-project-6574,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_eqra_2018_.pdf,afghanistan_eqra_2018_.pdf,6,57224,373202
nep_fe8fb70335,Alternate education service delivery COVID-19: emergency response plan,Afghanistan,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/alternate-education-service-delivery-covid-19-emergency-response-plan-6900,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_moe_covid-19_alternative_learning_plan_-_eng.pdf,afghanistan_moe_covid-19_alternative_learning_plan_-_eng.pdf,2,3486,22388
nep_e85c0c8dd2,Alternative Education Plan,Afghanistan,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/alternative-education-plan-6979,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_final_consolidatedmoe_alternative_education_plan-english.pdf,afghanistan_final_consolidatedmoe_alternative_education_plan-english.pdf,3,11018,69373
nep_aff7cf7b2b,Annual Operational Plan 2020/1399,Afghanistan,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/annual-operational-plan-20201399-7014,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_annual_operational_plan_for_nesp_iii_2020.pdf,afghanistan_annual_operational_plan_for_nesp_iii_2020.pdf,4,12205,79510
nep_67255dea6a,MoE gender base violence action plan,Afghanistan,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/moe-gender-base-violence-action-plan-7093,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_moe_gbv_action_plan_may192020_.pdf,afghanistan_moe_gbv_action_plan_may192020_.pdf,5,2322,15661
nep_c511692e3f,Afghanistan Education Sector Transitional Framework,Afghanistan,2022,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2022/afghanistan-education-sector-transitional-framework,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_education_sector_transitional_framework_3_mar_2022.pdf,afghanistan_education_sector_transitional_framework_3_mar_2022.pdf,1,32256,212343
nep_d0e6359085,Albania National Education Strategy 2004-2015,Albania,2005,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2005/albania-national-education-strategy-2004-2015-4295,http://planipolis.iiep.unesco.org/sites/default/files/ressources/albania-education-strategy-2004-2015.pdf,albania-education-strategy-2004-2015.pdf,27,19313,126276
nep_8f9de27ab8,Strategjia e zhvillimit të arsimit parauniversitar 2014-2020: Draft,Albania,2014,"Albanian,English",National Education Plans,http://planipolis.iiep.unesco.org/en/2014/strategjia-e-zhvillimit-t%C3%AB-arsimit-parauniversitar-2014-2020-draft-6159,http://planipolis.iiep.unesco.org/sites/default/files/ressources/albania_strategy_on_pre-university_education_dev.pdf,albania_strategy_on_pre-university_education_dev.pdf,26,25867,173346
nep_f8854e226b,Strategjia e zhvillimit të arsimit parauniversitar 2014-2020: Draft,Albania,2014,"Albanian,English",National Education Plans,http://planipolis.iiep.unesco.org/en/2014/strategjia-e-zhvillimit-t%C3%AB-arsimit-parauniversitar-2014-2020-draft-6159,http://planipolis.iiep.unesco.org/sites/default/files/ressources/albania_strategji_apu_dokumenti_perfundimtar_24_03_2015-1.pdf,albania_strategji_apu_dokumenti_perfundimtar_24_03_2015-1.pdf,25,28716,183670
nep_8cbecc5b6a,Draft-Strategjia Kombëtare e Arsimit 2021-2026,Albania,2021,Albanian,National Education Plans,http://planipolis.iiep.unesco.org/en/2021/draft-strategjia-komb%C3%ABtare-e-arsimit-2021-2026-7176,http://planipolis.iiep.unesco.org/sites/default/files/ressources/albania_draft_national_education_strategy_2021-2026.pdf,albania_draft_national_education_strategy_2021-2026.pdf,23,65867,410980
nep_7c139e78f7,Strategjia kombëtare e arsimit 2021-2026. Draft,Albania,2021,Albanian,National Education Plans,http://planipolis.iiep.unesco.org/en/2021/strategjia-komb%C3%ABtare-e-arsimit-2021-2026-draft-7443,http://planipolis.iiep.unesco.org/sites/default/files/ressources/draft-strategjia-per-arsimin-2021-2026.pdf,draft-strategjia-per-arsimin-2021-2026.pdf,24,65854,410949
nep_050be2bdcc,Pla estratègic per a la renovació i millora del sistema educatiu Andorrà,Andorra,2011,Catalan,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/pla-estrat%C3%A8gic-la-renovaci%C3%B3-i-millora-del-sistema-educatiu-andorr%C3%A0-5300,http://planipolis.iiep.unesco.org/sites/default/files/ressources/andorra_pla_estrategic.pdf,andorra_pla_estrategic.pdf,28,1632,10659
nep_f6d4ca8720,Pla estratègic per a la renovació i millora del sistema educatiu Andorrà,Andorra,2011,Catalan,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/pla-estrat%C3%A8gic-la-renovaci%C3%B3-i-millora-del-sistema-educatiu-andorr%C3%A0-5300,http://planipolis.iiep.unesco.org/sites/default/files/ressources/andorra_pla_estrategic_full_de_ruta.pdf,andorra_pla_estrategic_full_de_ruta.pdf,29,611,3726
nep_bc4bfe58e4,Plano estratégico de desenvolvimento da educaçao especial em Angola 2007-2015,Angola,2006,Portuguese,National Education Plans,http://planipolis.iiep.unesco.org/en/2006/plano-estrat%C3%A9gico-de-desenvolvimento-da-educa%C3%A7ao-especial-em-angola-2007-2015-4362,http://planipolis.iiep.unesco.org/sites/default/files/ressources/angola_estrategiaparaeducacaoespecial.pdf,angola_estrategiaparaeducacaoespecial.pdf,33,8553,56091
nep_8904258ae0,"Plano nacional de desenvolvimento da educação 2017-2030 ""Educar Angola 2030""",Angola,2017,Portuguese,National Education Plans,http://planipolis.iiep.unesco.org/en/2017/plano-nacional-de-desenvolvimento-da-educacao-2017-2030-educar-angola-2030,http://planipolis.iiep.unesco.org/sites/default/files/ressources/angola-educar_2030.pdf,angola-educar_2030.pdf,32,114052,710923
nep_f13a44ea80,Plano de acção para a intensificaçao da alfabetização e da educação de jovens e adultos (EJA) Angola 2019-2022,Angola,2019,Portuguese,National Education Plans,http://planipolis.iiep.unesco.org/en/2019/plano-de-accao-para-intensificacao-da-alfabetizacao-e-da-educacao-de-jovens-e-adultos-eja,http://planipolis.iiep.unesco.org/sites/default/files/ressources/angola_plano_alfabetizacao_eja_2019-2022.pdf,angola_plano_alfabetizacao_eja_2019-2022.pdf,31,8888,51507
nep_1529988a99,Projecto Empoderamento das Raparigas e Aprendizagem Para Todos (PAT II) – Projecto No. P168699 - Quadro de Gestão Ambiental e Social (QGAS),Angola,2021,Portuguese,National Education Plans,http://planipolis.iiep.unesco.org/en/2021/projecto-empoderamento-das-raparigas-e-aprendizagem-para-todos-pat-ii-%E2%80%93-projecto-no-p168699,http://planipolis.iiep.unesco.org/sites/default/files/ressources/angola_environmental-and-social-management-framework-esmf-girls-empowerment-and-learning-for-all-project.pdf,angola_environmental-and-social-management-framework-esmf-girls-empowerment-and-learning-for-all-project.pdf,30,141706,955286
nep_78c74b9807,State program for educational development: for the period of 2001-2005,Armenia,2000,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2000/state-program-educational-development-period-2001-2005-3801,http://planipolis.iiep.unesco.org/sites/default/files/ressources/armenia_educational_national_plan.pdf,armenia_educational_national_plan.pdf,35,13965,94865
nep_56408eac36,Draft for the State Program of Education Development until 2030 [Armenian],Armenia,2022,Armenian,National Education Plans,http://planipolis.iiep.unesco.org/en/2022/draft-state-program-education-development-until-2030-armenian,http://planipolis.iiep.unesco.org/sites/default/files/ressources/armenia_draft%20for%20the%20State%20Program%20of%20Education%20Development%20until%202030.pdf,armenia_draft for the State Program of Education Development until 2030.pdf,34,9941,87730
nep_db8d7278c9,Transforming Australia's higher education system,Australia,2009,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2009/transforming-australias-higher-education-system-5646,http://planipolis.iiep.unesco.org/sites/default/files/ressources/australia_transformingaushighered.pdf,australia_transformingaushighered.pdf,41,19460,128873
nep_36e13daef2,Universities Australia Strategy for Women : 2011-2014,Australia,2010,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2010/universities-australia-strategy-women-2011-2014,http://planipolis.iiep.unesco.org/sites/default/files/ressources/australia_universities_strategy_women.pdf,australia_universities_strategy_women.pdf,40,2538,18575
nep_09245c22ac,Corporate plan 2017-2018: opportunity through learning,Australia,2017,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2017/corporate-plan-2017-2018-opportunity-through-learning-6411,http://planipolis.iiep.unesco.org/sites/default/files/ressources/australia_corporate_plan_2017-18.pdf,australia_corporate_plan_2017-18.pdf,39,8247,60287
nep_bdc75120ad,Draft national teacher workforce action plan,Australia,2022,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2022/draft-national-teacher-workforce-action-plan-7460,http://planipolis.iiep.unesco.org/sites/default/files/ressources/australia_draft_national_teacher_workforce_action_plan_0.pdf,australia_draft_national_teacher_workforce_action_plan_0.pdf,38,4472,30260
nep_7645c42f9a,Department of Education Corporate Plan 2024–25,Australia,2024,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2024/department-education-corporate-plan-2024-25,http://planipolis.iiep.unesco.org/sites/default/files/ressources/Australia_2871%20Corporate%20Plan%202024-25_22_ACC.pdf,Australia_2871 Corporate Plan 2024-25_22_ACC.pdf,36,15731,104600
nep_83e2cc034a,National foundation skills strategy: A strong and sustainable Australian foundation skills sector 2025-2035,Australia,2024,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2024/national-foundation-skills-strategy-strong-and-sustainable-australian-foundation-skills-sector,http://planipolis.iiep.unesco.org/sites/default/files/ressources/Australia_National%20Foundation%20Skills%20Strategy_FA2_ACC.pdf,Australia_National Foundation Skills Strategy_FA2_ACC.pdf,37,5132,34553
nep_0f9726c6cc,Bahamian youth: the untapped resource,Bahamas,2005,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2005/bahamian-youth-untapped-resource-4969,http://www.nassauinstitute.org/files/CoalitionRpt5.16.pdf,CoalitionRpt5.16.pdf,43,10090,60638
nep_db7b26038c,Bahamian youth: the untapped resource,Bahamas,2005,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2005/bahamian-youth-untapped-resource-4969,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahamas_youth_untapped_resource.pdf,bahamas_youth_untapped_resource.pdf,42,10090,60638
nep_b542bd0057,Strategic plan 2011-2014,Bahrain,2010,"English,Arabic",National Education Plans,http://planipolis.iiep.unesco.org/en/2010/strategic-plan-2011-2014-5563,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_strategic_plan_2011-2014_ara.pdf,bahrain_strategic_plan_2011-2014_ara.pdf,50,10524,55216
nep_e577829e98,Strategic plan 2011-2014,Bahrain,2010,"English,Arabic",National Education Plans,http://planipolis.iiep.unesco.org/en/2010/strategic-plan-2011-2014-5563,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_strategic_plan_2011-2014.pdf,bahrain_strategic_plan_2011-2014.pdf,49,4384,30357
nep_23c9d8cae4,National higher education strategy 2014-2024: putting higher education at the heart of the nation,Bahrain,2014,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2014/national-higher-education-strategy-2014-2024-putting-higher-education-heart-nation-6642,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_higher_education_strategy_-_summary.pdf,bahrain_higher_education_strategy_-_summary.pdf,47,6604,46917
nep_a375aeffe4,National research strategy for the Kingdom of Bahrain 2014-2024,Bahrain,2014,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2014/national-research-strategy-kingdom-bahrain-2014-2024-6643,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_research_strategy.pdf,bahrain_research_strategy.pdf,48,3731,26976
nep_a8a1f9039c,Strategic plan 2015-2018 (Arabic),Bahrain,2015,Arabic,National Education Plans,http://planipolis.iiep.unesco.org/en/2015/strategic-plan-2015-2018-arabic-6578,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_strategicplan_2015-2018.pdf,bahrain_strategicplan_2015-2018.pdf,46,271,2186
nep_cc2c060da6,Strategic map Ministry of Education 2019-2022 [Arabic],Bahrain,2019,Arabic,National Education Plans,http://planipolis.iiep.unesco.org/en/2019/strategic-map-ministry-education-2019-2022-arabic-7015,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_stratigicplan.pdf,bahrain_stratigicplan.pdf,45,435,3466
nep_57db84e4ff,"Back-to-school guidelines: schools, universities and all educational institutions",Bahrain,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/back-school-guidelines-schools-universities-and-all-educational-institutions-7151,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_back-to-school.pdf,bahrain_back-to-school.pdf,44,7236,49388
nep_86031adf9c,Second Primary Education Development Program PEDP-II,Bangladesh,2004,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2004/second-primary-education-development-program-pedp-ii-4358,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_pedpii_features.pdf,bangladesh_pedpii_features.pdf,61,6428,33105
nep_1cf9533c83,Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes,Bangladesh,2011,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/third-primary-education-development-programme-pedp3-1-main-document-2-implementation-guide-3,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_pedp3.pdf,bangladesh_pedp3.pdf,60,138864,852760
nep_fe1884435f,Pre primary education expansion plan,Bangladesh,2012,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2012/pre-primary-education-expansion-plan-5869,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_pre_primary_education_expansion_plan_2012.pdf,bangladesh_pre_primary_education_expansion_plan_2012.pdf,58,52977,301286
nep_fb6f0432a2,Reaching Out of School Children (ROSC II),Bangladesh,2012,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2012/reaching-out-school-children-rosc-ii-6626,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_revised_emf_rosc_ii_july_16.pdf,bangladesh_revised_emf_rosc_ii_july_16.pdf,59,13141,91921
nep_a2303ae57b,Master plan for information and communication technology in education (2012-2021),Bangladesh,2013,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2013/master-plan-information-and-communication-technology-education-2012-2021-6580,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_master_plan_ict.pdf,bangladesh_master_plan_ict.pdf,57,14018,91044
nep_da2c270361,Third Primary Education Development Program (PEDP - 3) - Revised (2011-2016),Bangladesh,2015,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2015/third-primary-education-development-program-pedp-3-revised-2011-2016-6393,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_pedp-3_brief_revised.pdf,bangladesh_pedp-3_brief_revised.pdf,56,27794,173334
nep_ec241ed945,Fourth Primary Education Development Program (PEDP4) - Environmental Management Framework (EMF),Bangladesh,2018,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2018/fourth-primary-education-development-program-pedp4-environmental-management-framework-emf-6625,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_emf_pedp4_final_24-12-18.pdf,bangladesh_emf_pedp4_final_24-12-18.pdf,54,24861,168093
nep_890f3539b1,Fourth Primary Education Development Program (PEDP4) - Infrastructure Plan and Planning Guidelines,Bangladesh,2018,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2018/fourth-primary-education-development-program-pedp4-infrastructure-plan-and-planning-guidelines,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_infr_planning_guideline_pedp4.pdf,bangladesh_infr_planning_guideline_pedp4.pdf,55,34910,234323
nep_ca3be5fb3d,Education sector plan (ESP) for Bangladesh Fiscal years 2020/21-2024/25,Bangladesh,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/education-sector-plan-esp-bangladesh-fiscal-years-202021-202425-7052,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_esp_2020-21-2024-25.pdf,bangladesh_esp_2020-21-2024-25.pdf,53,102300,691880
nep_9d4b8d8504,National SDG 4 Strategic Framework: ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,Bangladesh,2022,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2022/national-sdg-4-strategic-framework-ensure-inclusive-and-equitable-quality-education-and-promote,http://planipolis.iiep.unesco.org/sites/default/files/ressources/382835eng.pdf,382835eng.pdf,52,36668,249503
nep_0487ed0542,National strategic plan for higher education colleges in Bangladesh: 2023-2031,Bangladesh,2024,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2024/national-strategic-plan-higher-education-colleges-bangladesh-2023-2031,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bangladesh_National%20strategic%20plan%20for%20higher%20education%20colleges%20in%20bangladesh%202023-2031.pdf,bangladesh_National strategic plan for higher education colleges in bangladesh 2023-2031.pdf,51,36093,245954
nep_b8df757a68,Strategic plan 2002-2012,Barbados,2002,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2002/strategic-plan-2002-2012-5529,http://planipolis.iiep.unesco.org/sites/default/files/ressources/barbados_strategic_plan_2002-2012.pdf,barbados_strategic_plan_2002-2012.pdf,63,27338,176292
nep_89526ab861,Barbados schools’ model emergency operations plan: multi-hazard emergency planning for schools,Barbados,2015,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2015/barbados-schools-model-emergency-operations-plan-multi-hazard-emergency-planning-schools,http://planipolis.iiep.unesco.org/sites/default/files/ressources/barbados_SchoolsModelEmergencyPlan2015.pdf,barbados_SchoolsModelEmergencyPlan2015.pdf,62,10689,71224
nep_9abd9fa635,Belize: Ministry of Education Action Plan 2005-2010,Belize,2005,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2005/belize-ministry-education-action-plan-2005-2010-4206,http://planipolis.iiep.unesco.org/sites/default/files/ressources/belize_moe_action_plan_2005-2010final.pdf,belize_moe_action_plan_2005-2010final.pdf,66,5018,34772
nep_7fda4bea02,"Belize Education Sector Strategy 2011-2016: improving access, quality and governance of education in Belize",Belize,2011,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/belize-education-sector-strategy-2011-2016-improving-access-quality-and-governance-education,http://planipolis.iiep.unesco.org/sites/default/files/ressources/belize_ed-sector_strategy_2011-2016.pdf,belize_ed-sector_strategy_2011-2016.pdf,65,54762,302671
nep_7ee826d54f,Belize education sector plan 2021-2025: making education for work for Belize,Belize,2021,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2021/belize-education-sector-plan-2021-2025-making-education-work-belize-7401,http://planipolis.iiep.unesco.org/sites/default/files/ressources/belize-education-sector-plan-2021-2025_moecst.pdf,belize-education-sector-plan-2021-2025_moecst.pdf,64,45079,300534
nep_c414e65d3a,Plan décennal de développement du secteur de l'éducation 2006-2015 (PDDSE): document de synthèse,Benin,2006,French,National Education Plans,http://planipolis.iiep.unesco.org/en/2006/plan-d%C3%A9cennal-de-d%C3%A9veloppement-du-secteur-de-l%C3%A9ducation-2006-2015-pddse-document-de-synth%C3%A8se,http://planipolis.iiep.unesco.org/sites/default/files/ressources/benin_plan_decennal_synthese.pdf,benin_plan_decennal_synthese.pdf,73,6342,71197
nep_f9438d4185,Document cadre de mise en oeuvre de la stratégie du faire-faire au Bénin,Benin,2010,French,National Education Plans,http://planipolis.iiep.unesco.org/en/2010/document-cadre-de-mise-en-oeuvre-de-la-strategie-du-faire-faire-au-benin,http://planipolis.iiep.unesco.org/sites/default/files/ressources/benin_document-cadre-de-mise-en-oeuvre-de-la-strategie-du-faire-faire-au-benin-finalise.pdf,benin_document-cadre-de-mise-en-oeuvre-de-la-strategie-du-faire-faire-au-benin-finalise.pdf,72,14349,96523
nep_0ddd494f34,Plan décennal de développement du secteur de l'éducation actualisé phase 3 2013-2015 + Annexes,Benin,2013,French,National Education Plans,http://planipolis.iiep.unesco.org/en/2013/plan-d%C3%A9cennal-de-d%C3%A9veloppement-du-secteur-de-l%C3%A9ducation-actualis%C3%A9-phase-3-2013-2015-annexes,http://planipolis.iiep.unesco.org/sites/default/files/ressources/benin-education-sector-plan-iii.pdf,benin-education-sector-plan-iii.pdf,70,56582,344248
nep_e582c854b5,Plan décennal de développement du secteur de l'éducation actualisé phase 3 2013-2015 + Annexes,Benin,2013,French,National Education Plans,http://planipolis.iiep.unesco.org/en/2013/plan-d%C3%A9cennal-de-d%C3%A9veloppement-du-secteur-de-l%C3%A9ducation-actualis%C3%A9-phase-3-2013-2015-annexes,http://planipolis.iiep.unesco.org/sites/default/files/ressources/benin-education-sector-plan-iii-annexes.pdf,benin-education-sector-plan-iii-annexes.pdf,71,39228,232197
nep_3a0d8dc205,Plan sectoriel de l’éducation post 2015 (2018-2030),Benin,2018,French,National Education Plans,http://planipolis.iiep.unesco.org/en/2018/plan-sectoriel-de-l%E2%80%99%C3%A9ducation-post-2015-2018-2030-6533,http://planipolis.iiep.unesco.org/sites/default/files/ressources/benin_2018-programme_sectoriel_education_tome2.pdf,benin_2018-programme_sectoriel_education_tome2.pdf,69,63369,362125
