doc_id,title,country,year,languages,resource_type,planipolis_page_url,document_url,local_filename,rights_publication_mode,source_row_number,rights_signal_class,rights_signal_name,rights_confidence,rights_evidence_location,rights_evidence_pages,rights_evidence_snippet
nep_198fb57765,National Literacy Action Plan 1391- 1394 [2012-2015] (NLAP),Afghanistan,2012,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2012/national-literacy-action-plan-1391-1394-2012-2015-nlap-6279,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nlap_2012-2015.pdf,afghanistan_nlap_2012-2015.pdf,snippet_search_ok,12,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_04bd7c8f76,The National Technical and Vocational Education and Training Strategy (NTVETS) for Afghanistan 2013-2018,Afghanistan,2013,"English,Dari,Pashto",National Education Plans,http://planipolis.iiep.unesco.org/en/2013/national-technical-and-vocational-education-and-training-strategy-ntvets-afghanistan-2013-2018,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nationaltvetstrategypashto_01.pdf,afghanistan_nationaltvetstrategypashto_01.pdf,snippet_search_ok,11,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_a746b7f475,The National Technical and Vocational Education and Training Strategy (NTVETS) for Afghanistan 2013-2018,Afghanistan,2013,"English,Dari,Pashto",National Education Plans,http://planipolis.iiep.unesco.org/en/2013/national-technical-and-vocational-education-and-training-strategy-ntvets-afghanistan-2013-2018,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nationaltvetstrategyenglish.pdf,afghanistan_nationaltvetstrategyenglish.pdf,snippet_search_ok,10,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_6cafe876db,National Education Strategic Plan (2015-2020) draft (NESP III),Afghanistan,2014,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2014/national-education-strategic-plan-2015-2020-draft-nesp-iii-5931,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_iii_2015-2020_draft.pdf,afghanistan_nesp_iii_2015-2020_draft.pdf,snippet_search_ok,9,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_44d87d0e67,National Education Strategic Plan (2017-2021),Afghanistan,2016,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2016/national-education-strategic-plan-2017-2021-6274,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_final_peshto.pdf,afghanistan_nesp_final_peshto.pdf,snippet_search_ok,8,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_fe55e76976,National Education Strategic Plan (2017-2021),Afghanistan,2016,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2016/national-education-strategic-plan-2017-2021-6274,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_iii_english_-_final_-_27-03-2017.pdf,afghanistan_nesp_iii_english_-_final_-_27-03-2017.pdf,link_only,7,restrictive,all_rights_reserved,high,pdf_edge_pages,"1,2,3,118,119,120","incorporated in the document do not reflect any sort of sentiments except education for Afghanistan. Published by: Ministry of Education Mohammad Jan Khan Watt, Kabul Afghanistan www.moe.gov.af Cover design: Ministry of Education Cover photo: Butterfly Works, all rights reserved Printed in: Department of Planning and Evaluation © 2016 Ministry of Education, Islamic Republic of Afghanistan All rights reserved 106 QR2. The capacity of schools/learnin g centres to promote student/learne r attainment is improved 2.1 Teachers and educator"
nep_6f1d0ddf19,Environmental and social management framework EQRA Project,Afghanistan,2018,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2018/environmental-and-social-management-framework-eqra-project-6574,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_eqra_2018_.pdf,afghanistan_eqra_2018_.pdf,snippet_search_ok,6,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_fe8fb70335,Alternate education service delivery COVID-19: emergency response plan,Afghanistan,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/alternate-education-service-delivery-covid-19-emergency-response-plan-6900,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_moe_covid-19_alternative_learning_plan_-_eng.pdf,afghanistan_moe_covid-19_alternative_learning_plan_-_eng.pdf,snippet_search_ok,2,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_e85c0c8dd2,Alternative Education Plan,Afghanistan,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/alternative-education-plan-6979,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_final_consolidatedmoe_alternative_education_plan-english.pdf,afghanistan_final_consolidatedmoe_alternative_education_plan-english.pdf,snippet_search_ok,3,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_aff7cf7b2b,Annual Operational Plan 2020/1399,Afghanistan,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/annual-operational-plan-20201399-7014,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_annual_operational_plan_for_nesp_iii_2020.pdf,afghanistan_annual_operational_plan_for_nesp_iii_2020.pdf,snippet_search_ok,4,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_67255dea6a,MoE gender base violence action plan,Afghanistan,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/moe-gender-base-violence-action-plan-7093,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_moe_gbv_action_plan_may192020_.pdf,afghanistan_moe_gbv_action_plan_may192020_.pdf,snippet_search_ok,5,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_c511692e3f,Afghanistan Education Sector Transitional Framework,Afghanistan,2022,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2022/afghanistan-education-sector-transitional-framework,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_education_sector_transitional_framework_3_mar_2022.pdf,afghanistan_education_sector_transitional_framework_3_mar_2022.pdf,snippet_search_ok,1,copyright_notice,copyright_notice,low,ocr_full_text,,AFGHANISTAN Education Sector Transitional Framework AFGHANISTAN Education Sector Transitional Framework 28 February 2022 © 2022 Cover photo: ©UNICEF/UN0518458 Photos ©UNICEF: page 8: UN0518452; page 14: UN0518457; page 20: UN0514375; page30: UNI205859; page 34: UN0339511; page 37: Skype_Picture_2022_03_20T08_36_25_929Z; page 38: UN0518477; page 40: Skype_ Picture_2022_03_20T08_40_20_0
nep_d0e6359085,Albania National Education Strategy 2004-2015,Albania,2005,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2005/albania-national-education-strategy-2004-2015-4295,http://planipolis.iiep.unesco.org/sites/default/files/ressources/albania-education-strategy-2004-2015.pdf,albania-education-strategy-2004-2015.pdf,snippet_search_ok,27,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_8f9de27ab8,Strategjia e zhvillimit të arsimit parauniversitar 2014-2020: Draft,Albania,2014,"Albanian,English",National Education Plans,http://planipolis.iiep.unesco.org/en/2014/strategjia-e-zhvillimit-t%C3%AB-arsimit-parauniversitar-2014-2020-draft-6159,http://planipolis.iiep.unesco.org/sites/default/files/ressources/albania_strategy_on_pre-university_education_dev.pdf,albania_strategy_on_pre-university_education_dev.pdf,snippet_search_ok,26,copyright_notice,copyright_notice,low,pdf_edge_pages,"1,2,3,95,96,97","STRATEGY ON PRE-UNIVERSITY EDUCATION DEVELOPMENT 2014-2020 (Draft) Tirana, 2014 2014-2020 Pre-University Education Development Strategy Page 2 © Ministry of Education and Sports (MES) Address: “Durrës” Str. No. 23, AL 1001, Tirana The contents of this document are protected under the copyright law. The Ministry encourages distribution of special parts of this document for personal and/or internal use and"
nep_f8854e226b,Strategjia e zhvillimit të arsimit parauniversitar 2014-2020: Draft,Albania,2014,"Albanian,English",National Education Plans,http://planipolis.iiep.unesco.org/en/2014/strategjia-e-zhvillimit-t%C3%AB-arsimit-parauniversitar-2014-2020-draft-6159,http://planipolis.iiep.unesco.org/sites/default/files/ressources/albania_strategji_apu_dokumenti_perfundimtar_24_03_2015-1.pdf,albania_strategji_apu_dokumenti_perfundimtar_24_03_2015-1.pdf,snippet_search_ok,25,copyright_notice,copyright_notice,low,pdf_edge_pages,"1,2,3,91,92,93","DOKUMENTI I STRATEGJISË SË ZHVILLIMIT TË ARSIMIT PARAUNIVERSITAR 2014-2020 (Draft) Tiranë, 2014 Strategjia e Zhvillimit të Arsimit Parauniversitar 2014-2020 Faqe 2 © Ministria e Arsimit dhe Sportit (MAS) Adresa: “Rruga e Durrësit” Nr. 23, AL 1001, Tiranë Përmbajtja e këtij dokumenti mbrohet nga ligji për të drejtën e autorit. Ministria nxit shpërndarjen e pjesëve të veçanta për përdorim të brendshëm ose personal, si dhe për"
nep_8cbecc5b6a,Draft-Strategjia Kombëtare e Arsimit 2021-2026,Albania,2021,Albanian,National Education Plans,http://planipolis.iiep.unesco.org/en/2021/draft-strategjia-komb%C3%ABtare-e-arsimit-2021-2026-7176,http://planipolis.iiep.unesco.org/sites/default/files/ressources/albania_draft_national_education_strategy_2021-2026.pdf,albania_draft_national_education_strategy_2021-2026.pdf,snippet_search_ok,23,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_7c139e78f7,Strategjia kombëtare e arsimit 2021-2026. Draft,Albania,2021,Albanian,National Education Plans,http://planipolis.iiep.unesco.org/en/2021/strategjia-komb%C3%ABtare-e-arsimit-2021-2026-draft-7443,http://planipolis.iiep.unesco.org/sites/default/files/ressources/draft-strategjia-per-arsimin-2021-2026.pdf,draft-strategjia-per-arsimin-2021-2026.pdf,snippet_search_ok,24,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_050be2bdcc,Pla estratègic per a la renovació i millora del sistema educatiu Andorrà,Andorra,2011,Catalan,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/pla-estrat%C3%A8gic-la-renovaci%C3%B3-i-millora-del-sistema-educatiu-andorr%C3%A0-5300,http://planipolis.iiep.unesco.org/sites/default/files/ressources/andorra_pla_estrategic.pdf,andorra_pla_estrategic.pdf,snippet_search_ok,28,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_f6d4ca8720,Pla estratègic per a la renovació i millora del sistema educatiu Andorrà,Andorra,2011,Catalan,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/pla-estrat%C3%A8gic-la-renovaci%C3%B3-i-millora-del-sistema-educatiu-andorr%C3%A0-5300,http://planipolis.iiep.unesco.org/sites/default/files/ressources/andorra_pla_estrategic_full_de_ruta.pdf,andorra_pla_estrategic_full_de_ruta.pdf,snippet_search_ok,29,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_bc4bfe58e4,Plano estratégico de desenvolvimento da educaçao especial em Angola 2007-2015,Angola,2006,Portuguese,National Education Plans,http://planipolis.iiep.unesco.org/en/2006/plano-estrat%C3%A9gico-de-desenvolvimento-da-educa%C3%A7ao-especial-em-angola-2007-2015-4362,http://planipolis.iiep.unesco.org/sites/default/files/ressources/angola_estrategiaparaeducacaoespecial.pdf,angola_estrategiaparaeducacaoespecial.pdf,snippet_search_ok,33,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_8904258ae0,"Plano nacional de desenvolvimento da educação 2017-2030 ""Educar Angola 2030""",Angola,2017,Portuguese,National Education Plans,http://planipolis.iiep.unesco.org/en/2017/plano-nacional-de-desenvolvimento-da-educacao-2017-2030-educar-angola-2030,http://planipolis.iiep.unesco.org/sites/default/files/ressources/angola-educar_2030.pdf,angola-educar_2030.pdf,snippet_search_ok,32,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_f13a44ea80,Plano de acção para a intensificaçao da alfabetização e da educação de jovens e adultos (EJA) Angola 2019-2022,Angola,2019,Portuguese,National Education Plans,http://planipolis.iiep.unesco.org/en/2019/plano-de-accao-para-intensificacao-da-alfabetizacao-e-da-educacao-de-jovens-e-adultos-eja,http://planipolis.iiep.unesco.org/sites/default/files/ressources/angola_plano_alfabetizacao_eja_2019-2022.pdf,angola_plano_alfabetizacao_eja_2019-2022.pdf,snippet_search_ok,31,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_1529988a99,Projecto Empoderamento das Raparigas e Aprendizagem Para Todos (PAT II) – Projecto No. P168699 - Quadro de Gestão Ambiental e Social (QGAS),Angola,2021,Portuguese,National Education Plans,http://planipolis.iiep.unesco.org/en/2021/projecto-empoderamento-das-raparigas-e-aprendizagem-para-todos-pat-ii-%E2%80%93-projecto-no-p168699,http://planipolis.iiep.unesco.org/sites/default/files/ressources/angola_environmental-and-social-management-framework-esmf-girls-empowerment-and-learning-for-all-project.pdf,angola_environmental-and-social-management-framework-esmf-girls-empowerment-and-learning-for-all-project.pdf,snippet_search_ok,30,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_78c74b9807,State program for educational development: for the period of 2001-2005,Armenia,2000,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2000/state-program-educational-development-period-2001-2005-3801,http://planipolis.iiep.unesco.org/sites/default/files/ressources/armenia_educational_national_plan.pdf,armenia_educational_national_plan.pdf,snippet_search_ok,35,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_56408eac36,Draft for the State Program of Education Development until 2030 [Armenian],Armenia,2022,Armenian,National Education Plans,http://planipolis.iiep.unesco.org/en/2022/draft-state-program-education-development-until-2030-armenian,http://planipolis.iiep.unesco.org/sites/default/files/ressources/armenia_draft%20for%20the%20State%20Program%20of%20Education%20Development%20until%202030.pdf,armenia_draft for the State Program of Education Development until 2030.pdf,snippet_search_ok,34,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_db8d7278c9,Transforming Australia's higher education system,Australia,2009,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2009/transforming-australias-higher-education-system-5646,http://planipolis.iiep.unesco.org/sites/default/files/ressources/australia_transformingaushighered.pdf,australia_transformingaushighered.pdf,link_only,41,restrictive,permission_required,medium,pdf_edge_pages,"1,2,3,65,66,67","s Higher Education System Transforming Australia’s Higher Education System 2 Transforming Australia’s Higher Education System © Commonwealth of Australia 2009 This work is copyright. Apart from any use as permitted under the Copyright Act 1968, no part may be reproduced by any process without prior written permission from the Commonwealth. Requests and inquiries concerning reproduction and rights should be addressed to the Commonwealth Copyright Administration, Attorney-General’s Department, Robert Garran Offices, National Circuit, Barton ACT 2600 or posted at http://www."
nep_36e13daef2,Universities Australia Strategy for Women : 2011-2014,Australia,2010,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2010/universities-australia-strategy-women-2011-2014,http://planipolis.iiep.unesco.org/sites/default/files/ressources/australia_universities_strategy_women.pdf,australia_universities_strategy_women.pdf,snippet_search_ok,40,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_09245c22ac,Corporate plan 2017-2018: opportunity through learning,Australia,2017,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2017/corporate-plan-2017-2018-opportunity-through-learning-6411,http://planipolis.iiep.unesco.org/sites/default/files/ressources/australia_corporate_plan_2017-18.pdf,australia_corporate_plan_2017-18.pdf,full_text_ok_text_only,39,open_license,creative_commons_url,high,pdf_edge_pages,"1,2,3,24,25,26","Corporate Plan 2017–18 Opportunity through learning www.education.gov.au © Commonwealth of Australia 2017 With the exception of the Commonwealth Coat of Arms, the department’s logo, any material protected by a trade mark and where otherwise noted all material presented in this document is provided under a Creative Commons Attribution 4.0 International (https://creativecommons.org/licenses/by/4.0/) licence. The details of the relevant licence conditions are available on the Creative Commons website as is the full legal code for the CC BY 4.0 International (https://creativecommons.org/licenses/by/4.0/legalcode). The document must be attributed as the De"
nep_bdc75120ad,Draft national teacher workforce action plan,Australia,2022,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2022/draft-national-teacher-workforce-action-plan-7460,http://planipolis.iiep.unesco.org/sites/default/files/ressources/australia_draft_national_teacher_workforce_action_plan_0.pdf,australia_draft_national_teacher_workforce_action_plan_0.pdf,snippet_search_ok,38,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_7645c42f9a,Department of Education Corporate Plan 2024–25,Australia,2024,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2024/department-education-corporate-plan-2024-25,http://planipolis.iiep.unesco.org/sites/default/files/ressources/Australia_2871%20Corporate%20Plan%202024-25_22_ACC.pdf,Australia_2871 Corporate Plan 2024-25_22_ACC.pdf,full_text_ok_text_only,36,open_license,creative_commons_url,high,pdf_edge_pages,"1,2,3,64","24 25 Corporate Plan Copyright ISSN 2981-8923 (Print) ISSN 2653-5610 (Online) With the exception of the Commonwealth Coat of Arms, the Department’s logo, any material protected by a trade mark and where otherwise noted all material presented in this document is provided under a Creative Commons Attribution 4.0 International (https://creativecommons.org/licenses/by/4.0/) licence. The details of the relevant licence conditions are available on the Creative Commons website (accessible using the links provided) as is the full legal code for the CC BY 4.0 International (https://creativecommons.org/licenses/by/4.0/legalcode). The"
nep_83e2cc034a,National foundation skills strategy: A strong and sustainable Australian foundation skills sector 2025-2035,Australia,2024,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2024/national-foundation-skills-strategy-strong-and-sustainable-australian-foundation-skills-sector,http://planipolis.iiep.unesco.org/sites/default/files/ressources/Australia_National%20Foundation%20Skills%20Strategy_FA2_ACC.pdf,Australia_National Foundation Skills Strategy_FA2_ACC.pdf,full_text_ok_text_only,37,open_license,creative_commons_named,high,pdf_edge_pages,"1,2,3,15,16","and acknowledge their continuing connection to land, water, and community. We pay our respects to the people, the cultures and the elders past and present. We acknowledge First Nations custodianship of 65,000 years of knowledge, skills and learning systems. © Commonwealth of Australia 2024Creative Commons Attribution Icon The material in this document is licensed under a Creative Commons Attribution—4.0 International license, with the exception of: • the Commonwealth Coat of Arms • this department’s logo • the Skills and Workforce Ministerial Council logo • any third party material • any material protected by a trade mark, and • any images an"
nep_0f9726c6cc,Bahamian youth: the untapped resource,Bahamas,2005,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2005/bahamian-youth-untapped-resource-4969,http://www.nassauinstitute.org/files/CoalitionRpt5.16.pdf,CoalitionRpt5.16.pdf,snippet_search_ok,43,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_db7b26038c,Bahamian youth: the untapped resource,Bahamas,2005,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2005/bahamian-youth-untapped-resource-4969,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahamas_youth_untapped_resource.pdf,bahamas_youth_untapped_resource.pdf,snippet_search_ok,42,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_b542bd0057,Strategic plan 2011-2014,Bahrain,2010,"English,Arabic",National Education Plans,http://planipolis.iiep.unesco.org/en/2010/strategic-plan-2011-2014-5563,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_strategic_plan_2011-2014_ara.pdf,bahrain_strategic_plan_2011-2014_ara.pdf,snippet_search_ok,50,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_e577829e98,Strategic plan 2011-2014,Bahrain,2010,"English,Arabic",National Education Plans,http://planipolis.iiep.unesco.org/en/2010/strategic-plan-2011-2014-5563,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_strategic_plan_2011-2014.pdf,bahrain_strategic_plan_2011-2014.pdf,snippet_search_ok,49,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_23c9d8cae4,National higher education strategy 2014-2024: putting higher education at the heart of the nation,Bahrain,2014,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2014/national-higher-education-strategy-2014-2024-putting-higher-education-heart-nation-6642,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_higher_education_strategy_-_summary.pdf,bahrain_higher_education_strategy_-_summary.pdf,snippet_search_ok,47,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_a375aeffe4,National research strategy for the Kingdom of Bahrain 2014-2024,Bahrain,2014,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2014/national-research-strategy-kingdom-bahrain-2014-2024-6643,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_research_strategy.pdf,bahrain_research_strategy.pdf,snippet_search_ok,48,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_a8a1f9039c,Strategic plan 2015-2018 (Arabic),Bahrain,2015,Arabic,National Education Plans,http://planipolis.iiep.unesco.org/en/2015/strategic-plan-2015-2018-arabic-6578,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_strategicplan_2015-2018.pdf,bahrain_strategicplan_2015-2018.pdf,snippet_search_ok,46,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_cc2c060da6,Strategic map Ministry of Education 2019-2022 [Arabic],Bahrain,2019,Arabic,National Education Plans,http://planipolis.iiep.unesco.org/en/2019/strategic-map-ministry-education-2019-2022-arabic-7015,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_stratigicplan.pdf,bahrain_stratigicplan.pdf,snippet_search_ok,45,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_57db84e4ff,"Back-to-school guidelines: schools, universities and all educational institutions",Bahrain,2020,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2020/back-school-guidelines-schools-universities-and-all-educational-institutions-7151,http://planipolis.iiep.unesco.org/sites/default/files/ressources/bahrain_back-to-school.pdf,bahrain_back-to-school.pdf,snippet_search_ok,44,no_rights_signal,no_rights_signal,low,ocr_full_text,,
